cut_comuna;comuna;cut_region;region;opciones;votos
6304;Lolol;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;1603
6304;Lolol;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;4728
6304;Lolol;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;63
6304;Lolol;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;82
6204;Marchihue;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2106
6204;Marchihue;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;4596
6204;Marchihue;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;66
6204;Marchihue;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;108
6305;Nancagua;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;4336
6305;Nancagua;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;9703
6305;Nancagua;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;99
6305;Nancagua;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;186
6205;Navidad;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2696
6205;Navidad;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;3838
6205;Navidad;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;79
6205;Navidad;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;162
6306;Palmilla;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2804
6306;Palmilla;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;7100
6306;Palmilla;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;58
6306;Palmilla;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;118
6206;Paredones;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2120
6206;Paredones;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;4154
6206;Paredones;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;57
6206;Paredones;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;78
6307;Peralillo;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2880
6307;Peralillo;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;6520
6307;Peralillo;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;71
6307;Peralillo;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;153
6112;Peumo;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;4230
6112;Peumo;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;7395
6112;Peumo;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;102
6112;Peumo;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;142
6113;Pichidegua;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;4496
